Bike Name,KM Driven,Owner Info,Price,Engine,Power Value,Torque Value,Mileage,Kerb Weight,Type of brakes
2016 Hero Splendor Ismart Drum Self Cast,22396,First,36000,97.2,8.24,8.05,92,110,Drum
2015 Yamaha FZ S FI (V 2.0) STD,56200,First,50000,153,13.2,12.8,53,132,Disc
2018 TVS Apache RTR 160 Single Disc,14800,First,50000,159.7,15.12,13.03,60,137,Disc
2014 Yamaha YZF R15 V2.0,10500,First,95000,149,17,15,40,136,Double Disc
2015 Hero Glamour (2012-2016) Drum,60000,First,45000,124.7,11.55,11,81.1,126,Drum
2017 Bajaj V15 Power Up STD,26000,First,50000,149.5,13,13,57,137,Disc
2019 Hyosung GT 250R,1000,First,330000,249,28.38,22.07,27,188,Double Disc
2017 Bajaj Dominar 400 ABS,15000,First,125000,373.3,35,35,26.5,182,Double Disc
2012 Hero Motocorp Glamour PGM Fi Drum Kick Cast,75000,First,55000,124.8,9,10.35,85.8,125,Drum
2015 Bajaj Pulsar AS 150,23000,First,55000,149.5,16.76,13,45,143,Disc
2016 Benelli TNT 25 Premium,17000,First,160000,249,28.55,21.61,30.5,159,Double Disc
2018 Hero Glamour Drum,5423,First,60000,124.7,11.55,11,80.01,125,Drum
2016 Yamaha FZ STD,33000,First,65000,153,14,13.6,50,135,Disc
2015 Yamaha FZ FI V2,22000,First,70000,149,13.2,12.8,45,137,Disc
2016 Honda Shine SP Disc CBS,26000,First,60000,124.73,10.3,10.3,65,123,Disc
2018 Hero Motocorp Glamour PGM Fi Drum Kick Cast,14000,First,45564,124.8,9,10.35,85.8,125,Drum
2015 Yamaha FZ S FI (V 2.0) STD,98000,First,40000,153,13.2,12.8,53,132,Disc
2012 Bajaj Pulsar 220 F STD,64000,First,50000,220,20.93,18.55,40,155,Double Disc
2017 Yamaha Saluto Disc Brake,20000,First,50000,125,8.3,10.1,78,114,Disc
2013 TVS Phoenix Disc,50000,First,10000,124.53,11,10.8,67,116,Disc
2009 Hero Motocorp Passion Pro Kick Start,20000,First,20000,97.2,8.24,8.05,84,112,Drum
2017 Yamaha FZ S FI (V 2.0) STD,25000,First,80000,153,13.2,12.8,53,132,Disc
2015 Hero Motocorp Karizma STD,31500,First,50000,223,19.2,19.35,48.5,154,Disc
2019 Honda Shine SP Drum Brake,12000,First,55000,124.73,10.3,10.3,65,120,Drum
2014 KTM 200 Duke STD,18000,First,1200,200,25.01,19.2,35,148,Double Disc
2015 Honda CB Unicorn 160 CBS,36000,First,47500,162.71,14.01,13.92,62,136,Disc
2017 Yamaha FZ S FI (V 2.0) STD,21000,First,75000,153,13.2,12.8,53,132,Disc
2017 Yamaha FZ S FI (V 2.0) STD,21000,First,75000,153,13.2,12.8,53,132,Disc
2017 Hero Glamour Fuel Injection,4000,First,58000,124.7,11.6,11,61.32,125,Disc
2012 Hero Motocorp Passion Pro Electric Start With Drum Brake,50000,First,35000,97.2,8.24,8.05,84,119,Disc
2018 Bajaj Dominar 400 ABS,15700,First,120000,373.3,35,35,26.5,182,Double Disc
2016 Royal Enfield Himalayan ABS,7500,First,160000,411,24.83,32,29.48,194,Double Disc
2007 Honda Shine Kick Drum Spoke,90000,First,20000,124.7,10.54,10.54,65,118,Drum
2018 Royal Enfield Thunderbird 350 ABS,3000,First,140000,346,20.07,28,40,197,Double Disc
2019 Honda Shine SP Disc Brake,22000,First,65000,124.73,10.3,10.3,65,121,Disc
2016 Yamaha YZF R15 S Version 1.0,15000,First,90000,149,16.58,15,40,134,Double Disc
2011 Bajaj Discover 125 T Drum,60000,First,22000,124.6,12.3,10.8,76,124,Disc
2011 Bajaj Discover 125 T Drum,60000,First,22000,124.6,12.3,10.8,76,124,Disc
